
global_step=83200, episodic_return: -1168.075927734375
global_step=83400, episodic_return: -1015.7224731445312
global_step=83600, episodic_return: -1158.404052734375
global_step=83800, episodic_return: -1078.04052734375
SPS: 59
global_step=84000, episodic_return: -1109.0050048828125
global_step=84200, episodic_return: -1332.78125
global_step=84400, episodic_return: -905.1597900390625
global_step=84600, episodic_return: -883.7694091796875
global_step=84800, episodic_return: -1223.57421875
global_step=85000, episodic_return: -1048.8055419921875
global_step=85200, episodic_return: -1204.9052734375
global_step=85400, episodic_return: -1160.394287109375
global_step=85600, episodic_return: -1024.9803466796875
global_step=85800, episodic_return: -1087.5587158203125
global_step=86000, episodic_return: -1050.3521728515625
SPS: 59
global_step=86200, episodic_return: -1010.9825439453125
global_step=86400, episodic_return: -1142.8565673828125
global_step=86600, episodic_return: -1039.0858154296875
global_step=86800, episodic_return: -1187.5775146484375
global_step=87000, episodic_return: -1136.1322021484375
global_step=87200, episodic_return: -1759.971923828125
global_step=87400, episodic_return: -1084.0093994140625
global_step=87600, episodic_return: -1267.7921142578125
global_step=87800, episodic_return: -998.7346801757812
global_step=88000, episodic_return: -1242.501708984375
SPS: 59
global_step=88200, episodic_return: -884.65478515625
global_step=88400, episodic_return: -1202.3509521484375
global_step=88600, episodic_return: -1210.5303955078125
global_step=88800, episodic_return: -1633.32666015625
global_step=89000, episodic_return: -1218.9912109375
global_step=89200, episodic_return: -1361.0206298828125
global_step=89400, episodic_return: -1167.4486083984375
global_step=89600, episodic_return: -1093.717041015625
global_step=89800, episodic_return: -1043.7672119140625
global_step=90000, episodic_return: -1187.9771728515625
SPS: 59
global_step=90200, episodic_return: -1823.31982421875
global_step=90400, episodic_return: -1142.3026123046875
global_step=90600, episodic_return: -1186.504150390625
global_step=90800, episodic_return: -1802.038818359375
global_step=91000, episodic_return: -1365.934814453125
global_step=91200, episodic_return: -1246.1470947265625
global_step=91400, episodic_return: -1148.44482421875
global_step=91600, episodic_return: -1202.6251220703125
global_step=91800, episodic_return: -1136.6513671875
global_step=92000, episodic_return: -1127.7490234375
SPS: 59
global_step=92200, episodic_return: -1213.7928466796875
global_step=92400, episodic_return: -1351.929443359375
global_step=92600, episodic_return: -1167.8004150390625
global_step=92800, episodic_return: -1211.1273193359375
global_step=93000, episodic_return: -1314.876708984375
global_step=93200, episodic_return: -1648.6646728515625
global_step=93400, episodic_return: -1725.2337646484375
global_step=93600, episodic_return: -1330.36083984375
global_step=93800, episodic_return: -1368.2908935546875
global_step=94000, episodic_return: -1280.715576171875
global_step=94200, episodic_return: -1083.80126953125
SPS: 59
global_step=94400, episodic_return: -1047.1549072265625
global_step=94600, episodic_return: -1381.010009765625
global_step=94800, episodic_return: -1396.05517578125
global_step=95000, episodic_return: -1289.7701416015625
global_step=95200, episodic_return: -1214.5318603515625
global_step=95400, episodic_return: -1152.5147705078125
global_step=95600, episodic_return: -1122.82763671875
global_step=95800, episodic_return: -1329.799072265625
global_step=96000, episodic_return: -1110.9136962890625
global_step=96200, episodic_return: -1134.0604248046875
SPS: 59
global_step=96400, episodic_return: -1185.9503173828125
global_step=96600, episodic_return: -1777.384521484375
global_step=96800, episodic_return: -973.444580078125
global_step=97000, episodic_return: -1034.7503662109375
global_step=97200, episodic_return: -1386.1058349609375
global_step=97400, episodic_return: -1063.71044921875
global_step=97600, episodic_return: -1362.2679443359375
global_step=97800, episodic_return: -1152.8365478515625
global_step=98000, episodic_return: -1209.3883056640625
global_step=98200, episodic_return: -1391.6162109375
SPS: 59
global_step=98400, episodic_return: -1126.00146484375
global_step=98600, episodic_return: -1200.3331298828125
global_step=98800, episodic_return: -983.04931640625
global_step=99000, episodic_return: -1183.42919921875
global_step=99200, episodic_return: -1021.260498046875
global_step=99400, episodic_return: -1136.292236328125
global_step=99600, episodic_return: -1213.271484375
global_step=99800, episodic_return: -1442.9327392578125
global_step=100000, episodic_return: -1217.334716796875
global_step=100200, episodic_return: -1288.2169189453125
SPS: 59
global_step=100400, episodic_return: -1102.11767578125
global_step=100600, episodic_return: -1166.973388671875
global_step=100800, episodic_return: -1040.5435791015625
global_step=101000, episodic_return: -974.5552368164062
global_step=101200, episodic_return: -1184.9730224609375
global_step=101400, episodic_return: -1187.1328125
global_step=101600, episodic_return: -1156.570556640625
global_step=101800, episodic_return: -1059.4488525390625
global_step=102000, episodic_return: -1437.8330078125
global_step=102200, episodic_return: -1051.7794189453125
global_step=102400, episodic_return: -1582.722412109375
SPS: 59
global_step=102600, episodic_return: -1158.9619140625
global_step=102800, episodic_return: -1120.738525390625
global_step=103000, episodic_return: -1052.3917236328125
global_step=103200, episodic_return: -1229.826904296875
global_step=103400, episodic_return: -1205.15283203125
global_step=103600, episodic_return: -1157.4117431640625
global_step=103800, episodic_return: -1145.3818359375
global_step=104000, episodic_return: -1172.4696044921875
global_step=104200, episodic_return: -1223.2034912109375
global_step=104400, episodic_return: -1491.585693359375
SPS: 59
global_step=104600, episodic_return: -1083.6343994140625
global_step=104800, episodic_return: -1497.04931640625
global_step=105000, episodic_return: -1195.4437255859375
global_step=105200, episodic_return: -1308.7542724609375
global_step=105400, episodic_return: -1138.61474609375
global_step=105600, episodic_return: -1146.216552734375
global_step=105800, episodic_return: -935.9156494140625
global_step=106000, episodic_return: -1137.802734375
global_step=106200, episodic_return: -1134.2174072265625
global_step=106400, episodic_return: -1089.3702392578125
SPS: 59
global_step=106600, episodic_return: -1068.6732177734375
global_step=106800, episodic_return: -1233.922607421875
global_step=107000, episodic_return: -1269.546875
global_step=107200, episodic_return: -1182.1556396484375
global_step=107400, episodic_return: -1115.1728515625
global_step=107600, episodic_return: -1135.0615234375
global_step=107800, episodic_return: -1158.4154052734375
global_step=108000, episodic_return: -1200.48681640625
global_step=108200, episodic_return: -1236.2354736328125
global_step=108400, episodic_return: -1221.106201171875
SPS: 59
global_step=108600, episodic_return: -1037.65185546875
global_step=108800, episodic_return: -1223.83984375
global_step=109000, episodic_return: -1216.5625
global_step=109200, episodic_return: -1177.1136474609375
global_step=109400, episodic_return: -1122.34716796875
global_step=109600, episodic_return: -1236.108642578125
global_step=109800, episodic_return: -1204.3885498046875
global_step=110000, episodic_return: -1168.818115234375
global_step=110200, episodic_return: -1046.3612060546875
global_step=110400, episodic_return: -1107.6021728515625
SPS: 59
global_step=110600, episodic_return: -1254.4512939453125
global_step=110800, episodic_return: -1180.686767578125
global_step=111000, episodic_return: -1224.916748046875
global_step=111200, episodic_return: -1053.631103515625
global_step=111400, episodic_return: -1290.848876953125
global_step=111600, episodic_return: -1116.2410888671875
global_step=111800, episodic_return: -1159.8302001953125
global_step=112000, episodic_return: -1175.73486328125
global_step=112200, episodic_return: -1030.458251953125
global_step=112400, episodic_return: -1134.8172607421875
global_step=112600, episodic_return: -1182.94775390625
SPS: 59
global_step=112800, episodic_return: -1248.3121337890625
global_step=113000, episodic_return: -1145.287109375
global_step=113200, episodic_return: -1257.586181640625
global_step=113400, episodic_return: -1214.917724609375
global_step=113600, episodic_return: -1276.4619140625
global_step=113800, episodic_return: -1174.195556640625
global_step=114000, episodic_return: -1222.2769775390625
global_step=114200, episodic_return: -1034.20556640625
global_step=114400, episodic_return: -1182.2327880859375
global_step=114600, episodic_return: -1227.875244140625
SPS: 59
global_step=114800, episodic_return: -1206.7064208984375
global_step=115000, episodic_return: -1268.4398193359375
global_step=115200, episodic_return: -1135.60595703125
global_step=115400, episodic_return: -1205.61279296875
global_step=115600, episodic_return: -1199.553466796875
global_step=115800, episodic_return: -1242.49072265625
global_step=116000, episodic_return: -1490.3656005859375
global_step=116200, episodic_return: -1198.73388671875
global_step=116400, episodic_return: -1345.9254150390625
global_step=116600, episodic_return: -1097.02734375
SPS: 59
global_step=116800, episodic_return: -1137.9039306640625
global_step=117000, episodic_return: -1199.1015625
global_step=117200, episodic_return: -1177.0321044921875
global_step=117400, episodic_return: -1514.3431396484375
global_step=117600, episodic_return: -1107.2005615234375
global_step=117800, episodic_return: -1195.52734375
global_step=118000, episodic_return: -1586.668212890625
global_step=118200, episodic_return: -1189.548095703125
global_step=118400, episodic_return: -1180.2816162109375
global_step=118600, episodic_return: -1259.9158935546875
SPS: 59
global_step=118800, episodic_return: -1062.4542236328125
global_step=119000, episodic_return: -1199.9969482421875
global_step=119200, episodic_return: -1194.3232421875
global_step=119400, episodic_return: -1236.9859619140625
global_step=119600, episodic_return: -1229.51904296875
global_step=119800, episodic_return: -1205.4075927734375
global_step=120000, episodic_return: -1244.4283447265625
global_step=120200, episodic_return: -1202.2974853515625
global_step=120400, episodic_return: -1615.79736328125
global_step=120600, episodic_return: -1422.0960693359375
global_step=120800, episodic_return: -1206.065185546875
SPS: 59
global_step=121000, episodic_return: -1418.7349853515625
global_step=121200, episodic_return: -1060.9862060546875
global_step=121400, episodic_return: -1103.1895751953125
global_step=121600, episodic_return: -1154.9478759765625
global_step=121800, episodic_return: -1009.5450439453125
